sample,total_mappings,total_query_reads,map_unique_pair_end,perc_map_unique_pair_end,map_multiple_pair_end,perc_map_multiple_pair_end,map_unique_one_mate,perc_map_unique_one_mate,map_multiple_one_mate,perc_map_multiple_one_mate,map_unique_single_end,perc_map_unique_single_end,map_multiple_single_end,,sum_mapped_reads,perc_sum_mapped_reads,sum_mapped_mates
L2_5-N1,203625737,19973457,12715614,63.66,4564657,22.85,930464,4.66,311294,1.56,0,0,0,0,18522029,92.73,35802300
L2_5-N2,265555789,28405897,18721515,65.91,5832466,20.53,1418559,4.99,445893,1.57,0,0,0,0,26418433,93,50972414
L3_5-N3,218459303,24038489,15939636,66.31,4774890,19.86,1155977,4.81,353277,1.47,0,0,0,0,22223780,92.45,42938306
L4_5-S1,248733749,27934635,18731093,67.05,5452101,19.52,1438314,5.15,401598,1.44,0,0,0,0,26023106,93.16,50206300
L3_5-S2,194048870,25870062,17657120,68.25,4213962,16.29,1381968,5.34,392896,1.52,0,0,0,0,23645946,91.4,45517028
L2_5-S3,220111910,25865202,17247921,66.68,5260637,20.34,1198937,4.64,376661,1.46,0,0,0,0,24084156,93.11,46592714
L2_5-S4,302268191,31022820,20098577,64.79,6597815,21.27,1629962,5.25,516425,1.66,0,0,0,0,28842779,92.97,55539171
L4_20-N1,198448552,26133105,17365886,66.45,4506036,17.24,1636626,6.26,470196,1.8,0,0,0,0,23978744,91.76,45850666
L3_20-N2,122761656,18227182,13335546,73.16,2759196,15.14,903246,4.96,230696,1.27,0,0,0,0,17228684,94.52,33323426
L2_20-N4,277121512,31986987,20278555,63.4,6159277,19.26,1485450,4.64,469334,1.47,0,0,0,0,28392616,88.76,54830448
L2_20-S1,335835510,33173136,21080716,63.55,7520917,22.67,1625095,4.9,555181,1.67,0,0,0,0,30781909,92.79,59383542
L4_20-S2,124403528,21250671,14588313,68.65,3084286,14.51,1245738,5.86,329180,1.55,0,0,0,0,19247517,90.57,36920116
L2_20-S3,253357356,29591220,18880521,63.8,5539793,18.72,1393297,4.71,427845,1.45,0,0,0,0,26241456,88.68,50661770
L2_20-S4,284232716,28894606,18456652,63.88,6284909,21.75,1371721,4.75,446344,1.54,0,0,0,0,26559626,91.92,51301187
L3_OC-N1,172113413,21362823,13875650,64.95,3814240,17.85,1648210,7.72,503649,2.36,0,0,0,0,19841749,92.88,37531639
L3_OC-N2,192104492,21575942,14418794,66.83,4158702,19.27,1091339,5.06,331547,1.54,0,0,0,0,20000382,92.7,38577878
L3_OC-N4,183529524,19798530,12072143,60.97,4185536,21.14,1017129,5.14,335099,1.69,0,0,0,0,17609907,88.95,33867586
L3_OC-N5,135058591,18864863,12761111,67.64,3430894,18.19,1127080,5.97,334238,1.77,0,0,0,0,17653323,93.58,33845328
L2_OC-S1,244262953,25141779,16228688,64.55,5156643,20.51,1434015,5.7,456367,1.82,0,0,0,0,23275713,92.58,44661044
L3_OC-S2,113927769,14347472,9591533,66.85,2876513,20.05,725725,5.06,221281,1.54,0,0,0,0,13415052,93.5,25883098
L3_OC-S3,232676461,23138771,14670040,63.4,5088388,21.99,1169320,5.05,390472,1.69,0,0,0,0,21318220,92.13,41076648
L4_OC-S5,174420153,27951782,18916115,67.67,3930254,14.06,2661717,9.52,739812,2.65,0,0,0,0,26247898,93.9,49094267